rowid,lujvo,lujvo_parsed,lujvo_for_split,lujvo_sequence,lujvo_len
399,bavlamcerni,bav-lam-cerni,cerni,2,3
400,bavlamcte,bav-lam-cte,bav,0,3
401,bavlamcte,bav-lam-cte,lam,1,3
402,bavlamcte,bav-lam-cte,cte,2,3
403,bavlamdeicerni,bav-lam-dei-cerni,bav,0,4
404,bavlamdeicerni,bav-lam-dei-cerni,lam,1,4
405,bavlamdeicerni,bav-lam-dei-cerni,dei,2,4
406,bavlamdeicerni,bav-lam-dei-cerni,cerni,3,4
407,bavlamjeftu,bav-lam-jeftu,bav,0,3
408,bavlamjeftu,bav-lam-jeftu,lam,1,3
409,bavlamjeftu,bav-lam-jeftu,jeftu,2,3
410,bavlamna'a,bav-lam-na'a,bav,0,3
411,bavlamna'a,bav-lam-na'a,lam,1,3
412,bavlamna'a,bav-lam-na'a,na'a,2,3
413,bavlamrai,bav-lam-rai,bav,0,3
414,bavlamrai,bav-lam-rai,lam,1,3
415,bavlamrai,bav-lam-rai,rai,2,3
416,bavlamvanci,bav-lam-vanci,bav,0,3
417,bavlamvanci,bav-lam-vanci,lam,1,3
418,bavlamvanci,bav-lam-vanci,vanci,2,3
419,bavlamyzdile,bav-lam-zdile,bav,0,3
420,bavlamyzdile,bav-lam-zdile,lam,1,3
421,bavlamyzdile,bav-lam-zdile,zdile,2,3
422,bavmamta,bav-mamta,bav,0,2
423,bavmamta,bav-mamta,mamta,1,2
424,bavmyxalselpinxe,bavm-xal-sel-pinxe,bavm,0,4
425,bavmyxalselpinxe,bavm-xal-sel-pinxe,xal,1,4
426,bavmyxalselpinxe,bavm-xal-sel-pinxe,sel,2,4
427,bavmyxalselpinxe,bavm-xal-sel-pinxe,pinxe,3,4
428,bavna'ake'udei,bav-na'a-ke'u-dei,bav,0,4
429,bavna'ake'udei,bav-na'a-ke'u-dei,na'a,1,4
430,bavna'ake'udei,bav-na'a-ke'u-dei,ke'u,2,4
431,bavna'ake'udei,bav-na'a-ke'u-dei,dei,3,4
432,bavna'arefma'i,bav-na'a-ref-ma'i,bav,0,4
433,bavna'arefma'i,bav-na'a-ref-ma'i,na'a,1,4
434,bavna'arefma'i,bav-na'a-ref-ma'i,ref,2,4
435,bavna'arefma'i,bav-na'a-ref-ma'i,ma'i,3,4
436,bavna'arefmasti,bav-na'a-ref-masti,bav,0,4
437,bavna'arefmasti,bav-na'a-ref-masti,na'a,1,4
438,bavna'arefmasti,bav-na'a-ref-masti,ref,2,4
439,bavna'arefmasti,bav-na'a-ref-masti,masti,3,4
440,bavylamyma'i,bav-lam-ma'i,bav,0,3
441,bavylamyma'i,bav-lam-ma'i,lam,1,3
442,bavylamyma'i,bav-lam-ma'i,ma'i,2,3
443,bavylamymasti,bav-lam-masti,bav,0,3
444,bavylamymasti,bav-lam-masti,lam,1,3
445,bavylamymasti,bav-lam-masti,masti,2,3
446,bavype'i,bav-pe'i,bav,0,2
447,bavype'i,bav-pe'i,pe'i,1,2
448,bavysmadi,bav-smadi,bav,0,2
449,bavysmadi,bav-smadi,smadi,1,2
450,bavyspe,bav-spe,bav,0,2
451,bavyspe,bav-spe,spe,1,2
452,bavytei,bav-tei,bav,0,2
453,bavytei,bav-tei,tei,1,2
454,bavyteike'u,bav-tei-ke'u,bav,0,3
455,bavyteike'u,bav-tei-ke'u,tei,1,3
456,bavyteike'u,bav-tei-ke'u,ke'u,2,3
457,bavyteirefma'i,bav-tei-ref-ma'i,bav,0,4
458,bavyteirefma'i,bav-tei-ref-ma'i,tei,1,4
459,bavyteirefma'i,bav-tei-ref-ma'i,ref,2,4
460,bavyteirefma'i,bav-tei-ref-ma'i,ma'i,3,4
461,bavyteireftei,bav-tei-ref-tei,bav,0,4
462,bavyteireftei,bav-tei-ref-tei,tei,1,4
463,bavyteireftei,bav-tei-ref-tei,ref,2,4
464,bavyteireftei,bav-tei-ref-tei,tei,3,4
465,baxydi'u,bax-di'u,bax,0,2
466,baxydi'u,bax-di'u,di'u,1,2
467,bazmau,baz-mau,baz,0,2
468,bazmau,baz-mau,mau,1,2
469,bazyselva'i,baz-sel-va'i,baz,0,3
470,bazyselva'i,baz-sel-va'i,sel,1,3
471,bazyselva'i,baz-sel-va'i,va'i,2,3
472,bazyteicau,baz-tei-cau,baz,0,3
473,bazyteicau,baz-tei-cau,tei,1,3
474,bazyteicau,baz-tei-cau,cau,2,3
475,be'aspe,be'a-spe,be'a,0,2
476,be'aspe,be'a-spe,spe,1,2
477,be'ipre,be'i-pre,be'i,0,2
478,be'ipre,be'i-pre,pre,1,2
479,be'ixru,be'i-xru,be'i,0,2
480,be'ixru,be'i-xru,xru,1,2
481,be'udzu,be'u-dzu,be'u,0,2
482,be'udzu,be'u-dzu,dzu,1,2
483,bebgei,beb-gei,beb,0,2
484,bebgei,beb-gei,gei,1,2
485,bebysa'i,beb-sa'i,beb,0,2
486,bebysa'i,beb-sa'i,sa'i,1,2
487,bebyxamtigni,beb-xam-tigni,beb,0,3
488,bebyxamtigni,beb-xam-tigni,xam,1,3
489,bebyxamtigni,beb-xam-tigni,tigni,2,3
490,bedjda,bed-jda,bed,0,2
491,bedjda,bed-jda,jda,1,2
492,bedykla,bed-kla,bed,0,2
493,bedykla,bed-kla,kla,1,2
494,bedykru,bed-kru,bed,0,2
495,bedykru,bed-kru,kru,1,2
496,befcro,bef-cro,bef,0,2
497,befcro,bef-cro,cro,1,2
498,befctiragyci'e,bef-cti-rag-ci'e,bef,0,4
499,befctiragyci'e,bef-cti-rag-ci'e,cti,1,4
500,befctiragyci'e,bef-cti-rag-ci'e,rag,2,4
501,befctiragyci'e,bef-cti-rag-ci'e,ci'e,3,4
502,befctiragygunma,bef-cti-rag-gunma,bef,0,4
503,befctiragygunma,bef-cti-rag-gunma,cti,1,4
504,befctiragygunma,bef-cti-rag-gunma,rag,2,4
505,befctiragygunma,bef-cti-rag-gunma,gunma,3,4
506,befctirango,bef-cti-rango,bef,0,3
507,befctirango,bef-cti-rango,cti,1,3
508,befctirango,bef-cti-rango,rango,2,3
509,befke'a,bef-ke'a,bef,0,2
510,befke'a,bef-ke'a,ke'a,1,2
511,befpre,bef-pre,bef,0,2
512,befpre,bef-pre,pre,1,2
513,befsri,bef-sri,bef,0,2
514,befsri,bef-sri,sri,1,2
515,befsri,bef-sri,bef,0,2
516,befsri,bef-sri,sri,1,2
517,beidru,bei-dru,bei,0,2
518,beidru,bei-dru,dru,1,2
519,beipre,bei-pre,bei,0,2
520,beipre,bei-pre,pre,1,2
521,beircarce,bei-carce,bei,0,2
522,beircarce,bei-carce,carce,1,2
523,beirfonxa,bei-fonxa,bei,0,2
524,beirfonxa,bei-fonxa,fonxa,1,2
525,beirvau,bei-vau,bei,0,2
526,beirvau,bei-vau,vau,1,2
527,bejytcaci,bej-tcaci,bej,0,2
528,bejytcaci,bej-tcaci,tcaci,1,2
529,bejvi'u,bej-vi'u,bej,0,2
530,bejvi'u,bej-vi'u,vi'u,1,2
531,bejyto'i,bej-to'i,bej,0,2
532,bejyto'i,bej-to'i,to'i,1,2
533,bemtai,bem-tai,bem,0,2
534,bemtai,bem-tai,tai,1,2
535,jbedei,jbe-dei,jbe,0,2
536,jbedei,jbe-dei,dei,1,2
537,benske,ben-ske,ben,0,2
538,benske,ben-ske,ske,1,2
539,jbetutra,jbe-tutra,jbe,0,2
540,jbetutra,jbe-tutra,tutra,1,2
541,berfa'a,ber-fa'a,ber,0,2
542,berfa'a,ber-fa'a,fa'a,1,2
543,bergu'e,ber-gu'e,ber,0,2
544,bergu'e,ber-gu'e,gu'e,1,2
545,berklaji,ber-klaji,ber,0,2
546,berklaji,ber-klaji,klaji,1,2
547,bermau,ber-mau,ber,0,2
548,bermau,ber-mau,mau,1,2
549,berpau,ber-pau,ber,0,2
550,berpau,ber-pau,pau,1,2
551,berstici,ber-stici,ber,0,2
552,berstici,ber-stici,stici,1,2
553,berstuna,ber-stuna,ber,0,2
554,berstuna,ber-stuna,stuna,1,2
555,bertoldi,ber-toldi,ber,0,2
556,bertoldi,ber-toldi,toldi,1,2
557,beryrai,ber-rai,ber,0,2
558,beryrai,ber-rai,rai,1,2
559,beryro'o,ber-ro'o,ber,0,2
560,beryro'o,ber-ro'o,ro'o,1,2
561,bensutra,ben-sutra,ben,0,2
562,bensutra,ben-sutra,sutra,1,2
563,benvau,ben-vau,ben,0,2
564,benvau,ben-vau,vau,1,2
565,bi'acpa,bi'a-cpa,bi'a,0,2
566,bi'acpa,bi'a-cpa,cpa,1,2
567,bi'agla,bi'a-gla,bi'a,0,2
568,bi'agla,bi'a-gla,gla,1,2
569,bi'amlu,bi'a-mlu,bi'a,0,2
570,bi'amlu,bi'a-mlu,mlu,1,2
571,bi'arbi'o,bi'a-bi'o,bi'a,0,2
572,bi'arbi'o,bi'a-bi'o,bi'o,1,2
573,bicycti,bic-cti,bic,0,2
574,bicycti,bic-cti,cti,1,2
575,bicydja,bic-dja,bic,0,2
576,bicydja,bic-dja,dja,1,2
577,bicysakta,bic-sakta,bic,0,2
