pluja,1.2,(complicated ‘complex’),x1 is complex/complicated/involved in aspect/property x2 (ka) by standard x3.
sampu,1.2,(simple),x1 is simple/unmixed/uncomplicated in property x2 (ka).
krati,1.2,(represent ‘proxy’),x1 represents/is an agent/proxy/stands-in for [absent] x2 in matter(s)/function(s) x3.
sarxe,1.2,(harmonious),x1 is harmonious/concordant/in agreement/concord with x2 in property x3 (ka).
vanbi,1.2,(environment ‘ambient’),x1 (ind./mass) is part of an environment/surroundings/context/ambience of x2.
javni,1.2,(rule),x1 is a rule prescribing/mandating/requiring x2 (event/state) within system/community x3.
porsi,1.3,(sequence),x1 [ordered set] is sequenced/ordered/listed by comparison/rules x2 on unordered set x3.
liste,1.3,(list),x1 (physical object) is a list/catalog/register of sequence/set x2 in order x3 in medium x4.
fatne,1.3,(reverse),x1 [sequence] is in reverse order from x2 [sequence]; x1 (object) is inverted from x2 (object).
lidne,1.3,(precede ‘leader’),x1 precedes/leads x2 in sequence x3; x1 is former/preceding/previous; x2 is latter/following.
korbi,1.4,"(edge ‘border, curb’)",x1 is an edge/margin/border/curb/boundary of x2 next-to/bordering-on x3.
jimte,1.4,(limit),x1 is a limit/extreme/bound/border/[confinement] of x2 in property/domain x3.
traji,1.4,(superlative ‘extreme’),"x1 is superlative in property x2 (ka), the x3 extreme (ka; default ka zmadu) among set/range x4."
milxe,1.4,(mild),x1 is mild/non-extreme/gentle/middling/somewhat in property x2 (ka); x1 is not very x2.
bancu,1.4,(beyond),x1 exceeds/is beyond limit/boundary x2 from x3 in property/amount x4 (ka/ni).
karbi,1.5,(compare),"x1 [observer] compares x2 with x3 in property x4 (ka), determining comparison x5 (state)."
mapti,1.5,(fit ‘match’),x1 fits/matches/suits/is compatible/appropriate/corresponds to/with x2 in property/aspect x3.
cimni,1.5,(infinite),"x1 is infinite/unending/eternal in property/dimension x2, to degree x3 (quantity)/of type x3."
zasni,1.5,(temporary ‘transient’),x1 is temporary/not permanent/expected to change in property x2 (ka) by standard/expectant x3.
mutce,1.5,(much),"x1 is much/extreme in property x2 (ka), towards x3 extreme/direction; x1 is, in x2, very x3."
barda,1.5,(big ‘large’),x1 is big/large in property/dimension(s) x2 (ka) as compared with standard/norm x3.
cmalu,1.5,(small),x1 is small in property/dimension(s) x2 (ka) as compared with standard/norm x3.
zmadu,1.5,(more),x1 exceeds/is more than x2 in property/quantity x3 (ka/ni) by amount/excess x4.
mleca,1.5,(less),x1 is less than x2 in property/quantity x3 (ka/ni) by amount x4.
zenba,1.5,(increase ‘augment’),x1 (experiencer) increases/is incremented/augmented in property/quantity x2 by amount x3.
jdika,1.5,(decrease),x1 (experiencer) decreases/contracts/is reduced/diminished in property/quantity x2 by amount x3.
stodi,1.5,(constant ‘stable’),x1 is constant/invariant/unchanging in property x2 (ka) in response to stimulus/conditions x3.
cenba,1.5,(vary),x1 varies/changes in property/quantity x2 (ka/ni) in amount/degree x3 under conditions x4.
banro,1.5,(grow),x1 grows/expands [an increasing development] to size/into form x2 from x3.
ctaru,1.5,(tide),x1 is a tide [cyclical/periodic expansion] in x2 caused by x3.
jmina,1.5,(add ‘augment’),"x1 adds/combines x2 to/with x3, with result x4; x1 augments x2 by amount x3."
banzu,1.5,(suffice),x1 (object) suffices/is enough/sufficient for purpose x2 under conditions x3.
dukse,1.5,(excess),x1 is an excess of/too much of x2 by standard x3.
claxu,1.5,(without ‘lack’),x1 is without/lacking/free of/lacks x2; x1 is x2-less.
dunli,1.5,(equal),x1 is equal/congruent to/as much as x2 in property/dimension/quantity x3.
simsa,1.5,(similar),x1 is similar/parallel to x2 in property/quantity x3 (ka/ni); x1 looks/appears like x2.
drata,1.5,(other),x1 isn't the-same-thing-as/is different-from/other-than x2 by standard x3; x1 is something else.
mintu,1.5,(same ‘identical’),x1 is the same/identical thing as x2 by standard x3; (x1 and x2 interchangeable).
frica,1.5,(differ),x1 differs/is distinct from/contrasts with/is unlike x2 in property/dimension/quantity x3.
dukti,1.5,(opposite ‘contrary’),x1 is polar opposite from/contrary to x2 in property/on scale x3 (property/si'o).
cmaci,1.6,(mathematics),x1 is a mathematics of type/describing x2.
mekso,1.6,(MEX),
namcu,1.6,(number),x1 (li) is a number/quantifier/digit/value/figure (noun); refers to the value and not the symbol.
kancu,1.6,(count),x1 (agent) counts the number in set x2 to be x3 [number/count] counting [off] by units x4.
kanji,1.6,(calculate ‘reckon’),x1 calculates/reckons/computes x2 [value (ni)/state] from data x3 by process x4.
saclu,1.6,(decimal),x1 (me'o) is the [decimal/binary] equivalent of fractional x2 (me'o) in base x3 (quantity).
sumji,1.6,(sum),x1 is a mathematical sum/result/total of x2 plus/increased by x3.
vimcu,1.6,(remove),x1 removes/subtracts/deducts/takes away x2 from x3 with/leaving result/remnant/remainder x4.
pilji,1.6,(multiply ‘multiply’),x1 is the product/total/result of factors/multiplicands (x2 and x3) x2 multiplied by x3.
dilcu,1.6,(quotient ‘division’),"x1 is a quotient of 'x2/x3' [dividend x2 divided by divisor x3], leaving remainder x4."
frinu,1.6,(fraction),"x1 is a fraction, with numerator x2, denominator x3 (x2/x3)."
tenfa,1.6,(exponential),x1 is the exponential result of base x2 to power/exponent x3.
dugri,1.6,(logarithm),x1 is the logarithm of x2 with base x3.
fancu,1.6,(function),x1 is a function/single-valued mapping from domain x2 to range x3 defined by expression/rule x4.
sumti,1.6,(argument),x1 is a/the argument of predicate/function x2 filling place x3 (kind/number).
sinso,1.6,(sine),
tanjo,1.6,(tangent),
xadba,1.6,(half),x1 is exactly/approximately half/semi-/demi-/hemi- of x2 by standard x3.
judri,1.6,(address),x1 is an address of/are coordinates of x2 in system x3.
bangu,2.1,(language),"x1 is a/the language/dialect used by x2 to express/communicate x3 (si'o/du'u, not quote)."
sinxa,2.1,(sign),x1 is a sign/symbol/signal representing/referring/signifying/meaning x2 to observer x3.
fanva,2.1,(translate),x1 translates text/utterance x2 to language x3 from language x4 with translation result x5.
cmavo,2.1,(structure word),
gadri,2.1,(article),x1 is an article/descriptor labelling description x2 (text) in language x3 with semantics x4.
gerna,2.1,(grammar),x1 is the grammar/rules/defining form of language x2 for structure/text x3.
jufra,2.1,(sentence ‘phrase’),x1 (text) is a sentence/statement about x2 [topic/subject/predicate/focus] in language x3.
rafsi,2.1,(affix),"x1 is an affix/suffix/prefix/combining-form for word/concept x2, form/properties x3, language x4."
rimni,2.1,(rhyme),"x1 rhymes/alliterates with x2 in language/phonetics x3, matching sound correspondence x4 (ka)."
slaka,2.1,(syllable),x1 is a syllable in language x2.
tanru,2.1,(phrase compound),"x1 is a binary metaphor formed with x2 modifying x3, giving meaning x4 in usage/instance x5."
valsi,2.1,(word),x1 is a word meaning/causing x2 in language x3; (adjective: x1 is lexical/verbal).
broda,2.1,(predicate var 1),
brode,2.1,(predicate var 2),
brodi,2.1,(predicate var 3),
brodo,2.1,(predicate var 4),
brodu,2.1,(predicate var 5),
cmene,2.1,(name),x1 (quoted word(s)) is a/the name/title/tag of x2 to/used-by namer/name-user x3 (person).
gismu,2.1,(root word),"x1 is a (Lojban) root word expressing relation x2 among argument roles x3, with affix(es) x4."
lujvo,2.1,(affix compound),
lerfu,2.1,(letteral),x1 (la'e zo BY/word-bu) is a letter/digit/symbol in alphabet/character-set x2 representing x3.
pandi,2.1,(punctuate),x1 (agent) punctuates x2 (expression) with symbol/word x3 with syntactic/semantic effect x4.
ciska,2.2,(write ‘scribe’),x1 inscribes/writes x2 on display/storage medium x3 with writing implement x4; x1 is a scribe.
tcidu,2.2,(read),x1 [agent] reads x2 [text] from surface/document/reading material x3; x1 is a reader.
cukta,2.2,(book),x1 is a book containing work x2 by author x3 for audience x4 preserved in medium x5.
xatra,2.2,(letter),x1 is a letter/missive/[note] to intended audience x2 from author/originator x3 with content x4.
karni,2.2,(journal),x1 is a journal/periodical/magazine/[newspaper] with content x2 published by x3 for audience x4.
cartu,2.2,(chart),x1 is a chart/diagram/map of/about x2 showing formation/data-points x3.
benji,2.2,(transfer ‘send’),x1 transfers/sends/transmits x2 to receiver x3 from transmitter/origin x4 via means/medium x5.
cradi,2.2,(radio),x1 broadcasts/transmits [using radio waves] x2 via station/frequency x3 to [radio] receiver x4.
tivni,2.2,(television),x1 broadcasts/televises programming x2 via medium/channel x3 to television receiver x4.
fonxa,2.2,(telephone),x1 is a telephone transceiver/modem attached to system/network x2.
skami,2.2,(computer),x1 is a computer for purpose x2.
vidni,2.2,(video),x1 is a video monitor/CRT/screen [machine] serving function x2.
kacma,2.2,(camera),x1 is a camera/photographic equipment recording illumination type x2 images to medium x3.
notci,2.3,(message ‘note’),x1 is a message/notice/memorandum about subject x2 from author x3 to intended audience x4.
mifra,2.3,(code ‘cipher’),x1 is encoded/cipher text of plain-text x2 by code/coding system x3; x1 is in code; x3 is a code.
mipri,2.3,(secret),x1 keeps x2 secret/hidden from x3 by method x4; x2 is a secret; x1 hides/conceals x2.
mrilu,2.3,(mail),x1 mails/posts [transfer via intermediary service] x2 to recipient address x3 from mailbox/post office/sender address x4 by carrier/network/system x5.
tcita,2.3,(label ‘tag’),x1 is a label/tag of x2 showing information x3.
citri,2.3,(history),x1 is a history of x2 according to x3 (person)/from point-of-view x3.
lisri,2.3,(story),x1 is a story/tale/yarn/narrative about plot/subject/moral x2 by storyteller x3 to audience x4.
cusku,2.3,(express),x1 (agent) expresses/says x2 (sedu'u/text/lu'e concept) for audience x3 via expressive medium x4.
tavla,2.3,(talk ‘palaver’),x1 talks/speaks to x2 about subject x3 in language x4.
skicu,2.3,(describe),x1 tells about/describes x2 (object/event/state) to audience x3 with description x4 (property).
stidi,2.3,(suggest),x1 (agent) suggests/proposes idea/action x2 to audience x3; x1 (event) inspires x2 in/among x3.
jarco,2.3,(show),x1 (agent) shows/exhibits/displays/[reveals]/demonstrates x2 (property) to audience x3.
cmoni,2.3,(moan),x1 utters moan/groan/howl/scream [non-linguistic utterance] x2 expressing x3 (property).
frumu,2.3,(frown),x1 frowns/grimaces (facial expression).
cisma,2.3,(smile),x1 smiles/grins (facial expression).
pinka,2.3,(comment),x1 (text) is a comment/remark/observation about subject x2 expressed by x3 to audience x4.
casnu,2.4,(discuss),"x1(s) (mass normally, but 1 individual/jo'u possible) discuss(es)/talk(s) about topic/subject x2."
spuda,2.4,(reply ‘respond’),x1 answers/replies to/responds to person/object/event/situation/stimulus x2 with response x3.
preti,2.4,(question ‘query’),x1 (quoted text) is a question/query about subject x2 by questioner x3 to audience x4.
danfu,2.4,(answer),x1 is the answer/response/solution/[reply] to question/problem x2.
cpedu,2.4,(request),x1 requests/asks/petitions/solicits for x2 of/from x3 in manner/form x4.
darlu,2.4,(argue),x1 argues for stand x2 against stand x3; [an opponent is not necessary].
fraxu,2.4,(forgive),x1 forgives x2 for event/state/activity x3.
friti,2.4,(offer),x1 offers/proffers x2 [offering] to x3 with conditions x4.
kajde,2.4,(warn ‘caution’),x1 (event/experience) warns/cautions x2 (person) of/about danger x3 (event/state/property).
nupre,2.4,(promise),x1 (agent) promises/commits/assures/threatens x2 (event/state) to x3 [beneficiary/victim].
pante,2.4,(protest),x1 protests/objects to/complains about x2 (event/state) to audience x3 with action x4.
pikci,2.4,(beg ‘supplicate’),x1 begs/pleads/supplicates/entreats/implores/beseeches/prays [asks with humility] x2 for x3.
rinsa,2.4,(greet),x1 (agent) greets/hails/[welcomes/says hello to]/responds to arrival of x2 in manner x3 (action).
tcica,2.4,"(deceive ‘cheat, trick’)",x1 (event/experience) misleads/deceives/dupes/fools/cheats/tricks x2 into x3 (event/state).
mucti,2.5,(immaterial),x1 is immaterial/not physical/without material form.
menli,2.5,(mind ‘mental’),x1 is a mind/intellect/psyche/mentality/[consciousness] of body x2.
xanri,2.5,(imaginary ‘unreal’),x1 [concept] exists in the imagination of/is imagined by/is imaginary to x2.
pruxi,2.5,(spirit),x1 is spiritual/pertains to the soul in nature [either energy or being]; x1 is ghostly/ethereal.
sanji,2.5,(conscious),x1 is conscious/aware of x2 (object/abstract); x1 discerns/recognizes x2 (object/abstract).
pensi,2.5,(think ‘pensive’),x1 thinks/considers/cogitates/reasons/is pensive about/reflects upon subject/concept x2.
prenu,2.5,(person),x1 is a person/people (noun) [not necessarily human]; x1 displays personality/a persona.
sevzi,2.5,(self),x1 is a self/ego/id/identity-image of x2.
sidbo,2.5,(idea),x1 (idea abstract) is an idea/concept/thought about x2 (object/abstract) by thinker x3.
nabmi,2.5,(problem),x1 (event/state) is a problem to/encountered by x2 in situation/task/inquiry x3.
cilre,2.5,(learn),x1 learns x2 (du'u) about subject x3 from source x4 (obj./event) by method x5 (event/process).
ctuca,2.5,(teach),x1 teaches audience x2 ideas/methods/lore x3 (du'u) about subject(s) x4 by method x5 (event).
ckule,2.5,(school),x1 is school/institute/academy at x2 teaching subject(s) x3 to audien./commun. x4 operated by x5.
datni,2.5,(data),x1 (du'u) [fact/measurement] is data/information/statistic(s) about x2 gathered by method x3.
djuno,2.5,(know),x1 knows fact(s) x2 (du'u) about subject x3 by epistemology x4.
facki,2.5,(discover ‘find’),x1 discovers/finds out x2 (du'u) about subject/object x3; x1 finds (fi) x3 (object).
fatci,2.5,(fact),"x1 (du'u) is a fact/reality/truth/actuality, in the absolute."
jdice,2.5,(decide),x1 (person) decides/makes decision x2 (du'u) about matter x3 (event/state).
jetnu,2.5,(true),x1 (du'u) is true/truth by standard/epistemology/metaphysics x2.
jitfa,2.5,(false),x1 (du'u) is false/is an untruth by standard/epistemology/metaphysics x2.
jijnu,2.5,(intuit),x1 (person) intuits x2 (du'u) about subject x3; [epistemology].
jimpe,2.5,(understand ‘comprehend’),x1 understands/comprehends fact/truth x2 (du'u) about subject x3; x1 understands (fi) x3.
jinvi,2.5,(opine),x1 thinks/opines x2 [opinion] (du'u) is true about subject/issue x3 on grounds x4.
kanxe,2.5,(conjunction),"x1 is a conjunction, stating that x2 (du'u) and x3 (du'u) are both true."
krici,2.5,(believe ‘creed’),x1 believes [regardless of evidence/proof] belief/creed x2 (du'u) is true/assumed about subject x3.
logji,2.5,(logic),x1 [rules/methods] is a logic for deducing/concluding/inferring/reasoning to/about x2 (du'u).
morji,2.5,(remember ‘memory’),x1 remembers/recalls/recollects fact(s)/memory x2 (du'u) about subject x3.
natfe,2.5,(deny),x1 (du'u) contradicts/denies/refutes/negates x2 (du'u) under rules/logic x3.
nuzba,2.5,(news),"x1 (du'u) is news/tidings/new information about subject x2 from source x3, to observer x4."
senpi,2.5,(doubt ‘skeptic’),x1 doubts/is dubious/doubtful/skeptical/questions that x2 (du'u) is true.
sitna,2.5,(cite),x1 cites/quotes/refers to/makes reference to source x2 for information/statement x3 (du'u).
smadi,2.5,(guess ‘surmise’),x1 guesses/conjectures/surmises x2 (du'u) is true about subject x3; [epistemology].
sruma,2.5,(assume),x1 assumes/supposes that x2 (du'u) is true about subject x3; [epistemology].
tugni,2.5,(agree),x1 [person] agrees with person(s)/position/side x2 that x3 (du'u) is true about matter x4.
vlina,2.5,(alternation),"x1 is a logical alternation/disjunction, stating that x2 (du'u) and/or x3 (du'u) is/are true."
vreji,2.5,(record),x1 is a record of x2 (data/facts/du'u) about x3 (object/event) preserved in medium x4.
xusra,2.5,(assert),x1 (agent) asserts/claims/declares x2 (du'u) is true [can be used for epistemology of authority].
zasti,2.5,(exist),x1 exists/is real/actual/reality for x2 under metaphysics x3.
bridi,2.5,(predicate),x1 (text) is a predicate relationship with relation x2 among arguments (sequence/set) x3.
birti,2.5,(certain),x1 is certain/sure/positive/convinced that x2 is true.
ciksi,2.5,(explain),x1 (person) explains x2 (event/state/property) to x3 with explanation x4 (du'u).
cipra,2.5,(test ‘proof’),x1 (process/event) is a test for/proof of property/state x2 in subject x3 (individ./set/mass).
lanli,2.5,(analyze),x1 analyzes/examines-in-detail x2 by method/technique/system x3 [process/activity].
saske,2.5,(science),x1 (mass of facts) is science of/about subject matter x2 based on methodology x3.
sucta,2.5,(abstract),x1 (si'o) is abstracted/generalized/idealized from x2 [something concrete] by rules x3.
tadji,2.5,(method),x1 [process] is a method/technique/approach/means for doing x2 (event) under conditions x3.
tadni,2.5,(study),x1 studies/is a student of x2; x1 is a scholar; (adjective:) x1 is scholarly.
jicmu,2.5,(basis),x1 is a basis/foundation/underlying or fundamental principle of x2; x1 is at the bottom of x2.
manri,2.5,(reference),"x1 is a frame of reference/standard for observing/measuring/determining x2, with/by rules x3."
mansa,2.5,(satisfy),x1 satisfies evaluator x2 in property (ka)/state x3.
simlu,2.5,(seem),x1 seems/appears to have property(ies) x2 to observer x3 under conditions x4.
smuni,2.5,(meaning),x1 is a meaning/interpretation of x2 recognized/seen/accepted by x3.
srana,2.5,(pertain ‘concerns’),x1 pertains to/is germane/relevant to/concerns/is related/associated with/is about x2.
cimde,3,(dimension),x1 (property - ka) is a dimension of space/object x2 according to rules/model x3.
canlu,3,(space ‘volume’),x1 is space/volume/region/room [at-least-3-dimensional area] occupied by x2.
diklo,3,(local),x1 is local to x2; x1 is confined to locus x2 within range x3; x1 is regional
stuzi,3,(site ‘position’),x1 is an inherent/inalienable site/place/position/situation/spot/location of x2 (object/event).
nenri,3.1,(in ‘inner’),x1 is in/inside/within x2; x1 is on the inside/interior of x2 [totally within the bounds of x2].
bartu,3.1,(out),x1 is on the outside of x2; x1 is exterior to x2.
mlana,3.1,(side ‘lateral’),x1 is to the side of/lateral to x2 and facing x3 from point of view/in-frame-of-reference x4.
lamji,3.1,(adjacent),x1 is adjacent/beside/next to/in contact with x2 in property/sequence x3 in direction x4.
pritu,3.1,(right),x1 is to the right/right-hand side of x2 which faces/in-frame-of-reference x3.
zunle,3.1,(left),x1 is to the left/left-hand side of x2 which faces/in-frame-of-reference x3.
crane,3.1,(front),x1 is anterior/ahead/forward/(in/on) the front of x2 which faces/in-frame-of-reference x3.
trixe,3.1,(behind),x1 is posterior/behind/back/in the rear of x2 which faces/in-frame-of-reference x3.
cpana,3.1,(upon),x1 is upon/atop/resting on/lying on [the upper surface of] x2 in frame of reference/gravity x3.
gapru,3.1,(above ‘up’),x1 is directly/vertically above/upwards-from x2 in gravity/frame of reference x3.
cnita,3.1,(beneath),x1 is directly/vertically beneath/below/under/underneath/down from x2 in frame of reference x3.
dizlo,3.1,(low),x1 is low/down/downward in frame of reference x2 as compared with baseline/standard height x3.
galtu,3.1,(high),x1 is high/up/upward in frame of reference x2 as compared with baseline/standard height x3.
ragve,3.1,(across),x1 is located across/on the other side of gap/boundary x2 from x3; x1 is opposite (fi) x3.
berti,3.1,(north),x1 is to the north/northern side [right-hand-rule pole] of x2 according to frame of reference x3.
snanu,3.1,(south),x1 is to the south/southern side of x2 according to frame of reference x3.
stici,3.1,(west),x1 is to the west/western side of x2 according to frame of reference x3.
stuna,3.1,(east),x1 is to the east/eastern side of x2 according to frame of reference x3.
darno,3.1,(far),x1 is far/distant from x2 in property x3 (ka).
jibni,3.1,(near),x1 is near/close to/approximates x2 in property/quantity x3 (ka/ni).
sruri,3.1,(surround),x1 encircles/encloses/is surrounding x2 in direction(s)/dimension(s)/plane x3.
vasru,3.1,(contain ‘vessel’),x1 contains/holds/encloses/includes contents x2 within; x1 is a vessel containing x2.
kalri,3.1,(open),x1 (portal/passage/entrance-way) is open/ajar/not shut permitting passage/access to x2 by x3.
ganlo,3.1,(closed),"x1 (portal/passage/entrance-way) is closed/shut/not open, preventing passage/access to x2 by x3."
jorne,3.1,(joined),x1 is joined to/connects to/is united with x2 at common locus x3; x1 and x2 are a union.
kruca,3.1,(intersect ‘cross’),x1 intersects/crosses/traverses x2 at locus x3.
midju,3.1,(middle),x1 is in/at the middle/center/midpoint/[is a focus] of x2; (adjective:) x1 is central.
sepli,3.1,(apart ‘separate’),"x1 is apart/separate from x2, separated by partition/wall/gap/interval/separating medium x3."
sraji,3.2,(vertical ‘upright’),x1 is vertical/upright/erect/plumb/oriented straight up and down in reference frame/gravity x2.
pinta,3.2,(level ‘horizontal’),x1 is flat/level/horizontal in gravity/frame of reference x2.
salpo,3.2,(slope),x1 is sloped/inclined/slanted/aslant with angle x2 to horizon/frame x3.
tcena,3.3,(stretch),x1 stretches/extends to range x2 [interval/extent] in dimension x3 from relaxed range x4.
kuspe,3.3,(range ‘span’),x1 ranges/extends/spans/persists/reaches across/over interval/gap/area/scope/extent/range x2.
loldi,3.3,(floor),x1 is a floor/bottom/ground of x2.
drudi,3.3,(roof),x1 is a roof/top/ceiling/lid of x2.
tordu,3.4,(short),x1 is short in dimension/direction x2 (default longest dimension) by measurement standard x3.
clani,3.4,(long),x1 is long in dimension/direction x2 (default longest dimension) by measurement standard x3.
jarki,3.4,(narrow),x1 is narrow in dimension x2 [2nd most significant dimension] by standard x3.
ganra,3.4,(broad),x1 is broad/wide in dimension x2 [2nd most significant dimension] by standard x3.
cinla,3.4,(thin ‘lean’),x1 is thin in direction/dimension x2 by standard x3; [relatively short in smallest dimension].
rotsu,3.4,(thick ‘stout’),x1 is thick in dimension/direction x2 by standard x3; [relatively long in smallest dimension].
plana,3.4,(plump),x1 is plump/fat/obese [excessively thick/bulbous/swollen] by standard x2.
condi,3.4,(deep),x1 is deep in extent in direction/property x2 away from reference point x3 by standard x4.
caxno,3.4,(shallow),x1 is shallow in extent in direction/property x2 away from reference point x3 by standard x4.
tarmi,3.5,(shape ‘form’),x1 [ideal] is the conceptual shape/form of object/abstraction/manifestation x2 (object/abstract).
mokca,3.5.1,(point ‘moment’),x1 is a point/instant/moment [0-dimensional shape/form] in/on/at time/place x2.
jipno,3.5.1,(tip ‘point’),x1 is a tip/point/vertex/extremity/end [0-dimension shape/form] on object x2 at locus x3.
kojna,3.5.1,(corner),"x1 is a corner/point/at-least-3-dimensional [solid] angle [shape/form] in/on x2, of material x3."
linji,3.5.2,(line),x1 is a line/among lines [1-dimensional shape/form] defined by set of points x2.
sirji,3.5.2,(straight),x1 is straight/direct/line segment/interval between x2 and x3; (adjective:)  x1 is linear.
kruvi,3.5.2,(curve),"x1 is a curve/turn/bend in x2, at locus x3, and defined by set of points/properties x4."
clupa,3.5.2,(loop),x1 is a loop/circuit of x2 [material].
sarlu,3.5.2,(spiral),"x1 is a spiral/helix/whorl/[vortex] [shape/form] with limits x2, of dimensionality x3."
jgena,3.5.2,(knot),x1 is a knot/tangle in/between x2 (object/jo'u-objects).
jimca,3.5.2,(branch ‘limb’),x1 is a branch/bough/limb of x2; x2 forks into branches x1; [preferred over metaphorical birka].
sefta,3.5.3,(surface),"x1 is surface/face [bounded shape/form] of [higher-dimension] object x2, on side x3, edges x4."
jganu,3.5.3,(angle),x1 is an angle [2-dimensional shape/form] from vertex x2 subtended by lateral [segment] x3.
plita,3.5.3,(plane),x1 is a plane [2-dimensional shape/form] defined by points x2 (set); x1 is flat/[smooth].
kurfa,3.5.3,(square),"x1 is a right-angled shape/form defined by set of vertices x2, dimensions x3 (default 2)."
karda,3.5.3,(card),"x1 is a card [small nearly-2-dimensional shape/form] of material x2, shape x3."
cukla,3.5.3,(round ‘circular’),x1 is round/circular [2-dimensional shape/form]; x1 is a disk/circle/ring.
djine,3.5.3,(ring),"x1 is a ring/annulus/torus/circle [shape/form] of material x2, inside diam. x3, outside diam. x4."
punli,3.5.3,(swelling),"x1 is a swelling/protrusion/convexity [shape/form] at/in/on x2, of material x3."
kevna,3.5.3,(cavity ‘cave’),x1 is a cavity/hole/hollow/cavern in x2; x1 is concave within x2; x2 is hollow at locus x1.
bliku,3.5.4,(block),"x1 is a block [3-dimensional shape/form] of material x2, surfaces/sides x3."
kubli,3.5.4,(cube),"x1 is a cube/regular polyhedron/polygon of dimensions x2 (def. 3), surfaces/sides x3 (def. 6)."
tanbo,3.5.4,(board),x1 is a board/plank [3-dimensional long flat rectangle] of material x2.
konju,3.5.4,(cone),x1 is a cone [shape/form] of material x2 with vertex x3.
slanu,3.5.4,(cylinder),x1 is a cylinder [shape/form] of material x2.
tubnu,3.5.4,(tube),"x1 is a length of tubing/pipe/hollow cylinder [shape/form] of material x2, hollow of material x3."
lenjo,3.5.4,(lens),x1 is a lens/glass [focussing shape/form] focussing x2 to focus/foci x3 by means/material x4.
cfine,3.5.4,(wedge),x1 is a wedge [shape/form/tool] of material x2.
gacri,3.5.5,(cover),x1 is a cover/[lid/top] for covering/concealing/sheltering x2.
lunbe,3.5.5,(bare),x1 is bare/naked/nude; x1 is without cover/clothes/[protection].
derxi,3.5.5,(heap),x1 is a heap/pile/stack/mound/hill of materials x2 at location x3.
bolci,3.5.5,(ball),x1 is a ball/sphere/orb/globe [shape/form] of material x2; x1 is a spherical object [made of x2].
dirgo,3.5.5,(drop),"x1 is a drop [small, cohesive shape] of material [liquid/vapor] x2 in surrounding material x3."
boxfo,3.5.5,(sheet ‘foil’),x1 is a sheet/foil/blanket [2-dimensional shape/form flexible in 3 dimensions] of material x2.
karli,3.5.5,(collar),x1 is a collar/ring/belt/band around/surrounding x2 made of material x3.
cilta,3.5.5,(thread ‘filament’),x1 is a thread/filament/wire [shape/form] of material x2.
tapla,3.5.5,(tile),"x1 is a tile/cake [shape/form] of material x2, shape x3, thickness x4."
cinje,3.5.5,(wrinkle),x1 is a wrinkle/crease/fold [shape/form] in x2.
